MeV/nuc,He4,Li7,Be9,B11,C12,N14,O16,F19,Ne20,Na23,Mg24,Al27,Si28,P31,S32,Cl35,Ar40,K39,Ca40,Sc45,Ti48,V51,Cr52,Mn55,Fe56,Co59,Ni59
1,149.058,188.7,197.34,206.5,200.55,211.85,224.4,247.64,244.86,267.18,267.4,287.43,286.08,306.28,305.4,323.64,356.72,341.55,337.08,372.32,389.64,406.0,405.72,420.96,418.77,431.48,422.55
2,304.8,437.34,444.85,455.0,435.48,453.9,474.3,519.44,508.8,549.0,541.73,584.12,579.15,612.56,612.0,643.8,711.2,682.0,673.1,743.6,765.0,793.8,796.8,822.5,818.8,846.0,827.2
3,404.7,733.72,737.88,747.89,702.33,727.03,753.39,825.37,800.52,869.0,843.6,915.9,897.8,947.2,942.4,1002.0,1107.8,1041.6,1031.4,1139.5,1167.9,1220.0,1220.1,1257.6,1254.9,1292.6,1264.5
5,525.59,1293.28,1418.0,1423.52,1327.2,1365.3,1397.0,1510.0,1469.4,1565.2,1539.0,1626.4,1605.6,1697.4,1676.4,1751.4,1933.7,1829.0,1806.9,1963.5,2014.0,2106.0,2101.2,2136.4,2131.2,2199.6,2152.8
10,1065.87,3191.4,4524.0,4651.2,4214.0,4260.0,4309.2,4536.0,4422.0,4615.7,4521.4,4725.6,4656.3,4858.5,4792.5,4920.3,5304.0,5101.8,5033.7,5398.5,5540.1,5665.8,5610.0,5778.0,5720.0,5865.0,5800.0
14,1363.2,4001.4,6475.3,7740.0,7180.8,6897.1,6864.9,7114.8,6993.8,7270.5,7107.0,7372.8,7227.0,7480.0,7411.5,7630.7,8214.0,7881.0,7752.0,8190.0,8442.0,8662.0,8555.0,8721.0,8736.0,8856.0,8745.0
20,2624.0,7238.0,9591.8,12307.5,12592.8,12042.8,12061.5,12417.2,12015.0,12263.1,11970.0,12296.0,12100.0,12408.0,12193.0,12495.0,13284.0,12551.0,12432.0,13277.0,13464.0,13794.0,13760.0,14012.0,13860.0,14036.0,13965.0
30,3432.8,11559.6,20768.0,26288.0,25506.0,25228.0,24003.0,23800.0,22946.0,23265.0,22317.0,22990.0,22374.0,22790.0,22300.0,22800.0,23850.0,22704.0,22386.0,23542.0,23940.0,24236.0,23800.0,24276.0,24090.0,24448.0,23932.0
50,3296.0,13464.0,30380.0,48051.0,61910.0,73260.0,77254.0,84672.0,73568.0,69552.0,66008.0,63894.0,61312.0,60258.0,58596.0,57780.0,57783.0,56727.0,55575.0,55965.0,55880.0,55104.0,53784.0,54036.0,52592.0,52688.0,50623.0
75,4104.0,12900.0,28126.0,55375.0,82999.0,115830.0,143880.0,165168.0,166364.0,171456.0,159950.0,158762.0,157500.0,155100.0,149340.0,147560.0,146320.0,142080.0,140980.0,140760.0,138710.0,137640.0,136170.0,135880.0,136120.0,135200.0,133980.0
100,5106.0,14235.0,31620.0,54153.0,83790.0,123312.0,171468.0,221340.0,244160.0,273420.0,270000.0,277500.0,260100.0,267200.0,263730.0,263670.0,262640.0,258300.0,256800.0,255360.0,256300.0,255150.0,252000.0,254140.0,252030.0,252900.0,250260.0
150,5940.0,14877.0,33994.0,65638.0,98777.0,145410.0,197500.0,247420.0,296000.0,374490.0,418100.0,455260.0,448950.0,475300.0,471600.0,494700.0,513540.0,494000.0,486720.0,517860.0,524000.0,522900.0,512400.0,520950.0,520590.0,511460.0,498520.0
200,4872.0,12700.0,29888.0,64350.0,107420.0,165240.0,230090.0,312000.0,379140.0,470830.0,512050.0,582540.0,620400.0,675210.0,652720.0,666900.0,687960.0,684000.0,694380.0,706680.0,720000.0,730080.0,722160.0,732600.0,735330.0,729630.0,732420.0
