MeV/nuc,neutron
1e-09,1.0752
1e-08,1.3104
2.5e-08,1.5444
1e-07,1.9668
2e-07,2.323
5e-07,2.668
1e-06,2.875
2e-06,3.013
5e-06,3.151
1e-05,3.197
2e-05,3.197
5e-05,3.197
0.0001,3.22
0.0002,3.197
0.0005,3.312
0.001,3.288
0.002,3.288
0.005,3.288
0.01,3.475
0.02,4.495
0.03,5.134
0.05,7.172
0.07,9.45
0.1,13.317
0.15,20.202
0.2,25.75
0.3,38.43
0.5,60.298
0.7,78.584
0.9,94.707
1.0,103.026
1.2,118.269
1.5,138.75
2.0,163.8
3.0,198.86
4.0,225.33
5.0,242.4
6.0,247.52
7.0,258.86
8.0,268.14
9.0,284.31
10.0,301.32
12.0,323.9
14.0,340.34
15.0,351.12
16.0,356.44
18.0,369.75
20.0,378.88
21.0,380.33
30.0,385.44
50.0,366.3
75.0,349.21
100.0,340.62
130.0,354.0
150.0,344.84
180.0,359.28
200.0,353.6
300.0,421.6
400.0,475.2
500.0,518.4
600.0,572.8
700.0,585.0
800.0,624.0
900.0,635.1
1000.0,644.0
2000.0,774.8
5000.0,1063.4
10000.0,1242.0
20000.0,1621.2
50000.0,2006.0
100000.0,2848.0
